width,height,l_size,total_exec,kernel_exec,bandwidth,throughput,memory_footprint
2048,4096,2,500.303,0.566661,5.92143e+10,1.48036e+10,67.1089
2048,4096,2,408.608,0.502202,6.68146e+10,1.67037e+10,67.1089
2048,4096,2,405.742,0.542739,6.18243e+10,1.54561e+10,67.1089
2048,4096,2,404.452,0.552345,6.0749e+10,1.51873e+10,67.1089
2048,4096,2,385.634,0.518442,6.47217e+10,1.61804e+10,67.1089
2048,4096,4,371.432,0.226158,1.48367e+11,3.70918e+10,67.1089
2048,4096,4,365.004,0.259125,1.29491e+11,3.23728e+10,67.1089
2048,4096,4,364.603,0.260382,1.28866e+11,3.22165e+10,67.1089
2048,4096,4,368.368,0.258784,1.29662e+11,3.24155e+10,67.1089
2048,4096,4,361.194,0.221631,1.51398e+11,3.78494e+10,67.1089
2048,4096,8,364.909,0.136239,2.46291e+11,6.15727e+10,67.1089
2048,4096,8,358.641,0.13653,2.45766e+11,6.14415e+10,67.1089
2048,4096,8,361.964,0.134491,2.49492e+11,6.2373e+10,67.1089
2048,4096,8,357.711,0.13447,2.49531e+11,6.23827e+10,67.1089
2048,4096,8,364.891,0.134597,2.49296e+11,6.23239e+10,67.1089
2048,4096,16,359.587,0.135532,2.47576e+11,6.18939e+10,67.1089
2048,4096,16,357.863,0.134376,2.49706e+11,6.24264e+10,67.1089
2048,4096,16,355.064,0.135511,2.47614e+11,6.19035e+10,67.1089
2048,4096,16,361.74,0.134202,2.50029e+11,6.25073e+10,67.1089
2048,4096,16,357.251,0.135549,2.47545e+11,6.18862e+10,67.1089
