width,height,l_size,total_exec,kernel_exec,bandwidth,throughput,memory_footprint
256,512,2,113.266,0.017497,2.99645e+10,7.49111e+09,1.04858
256,512,2,37.1346,0.016393,3.19824e+10,7.99561e+09,1.04858
256,512,2,33.7215,0.016377,3.20137e+10,8.00342e+09,1.04858
256,512,2,34.5069,0.016383,3.2002e+10,8.00049e+09,1.04858
256,512,2,34.9722,0.01638,3.20078e+10,8.00195e+09,1.04858
256,512,4,33.9771,0.004309,1.21673e+11,3.04182e+10,1.04858
256,512,4,32.7242,0.00432,1.21363e+11,3.03407e+10,1.04858
256,512,4,33.6484,0.004331,1.21055e+11,3.02637e+10,1.04858
256,512,4,32.9567,0.00434,1.20804e+11,3.02009e+10,1.04858
256,512,4,33.2042,0.004338,1.20859e+11,3.02148e+10,1.04858
256,512,8,36.6817,0.002343,2.23768e+11,5.5942e+10,1.04858
256,512,8,33.078,0.002347,2.23386e+11,5.58466e+10,1.04858
256,512,8,38.4571,0.002349,2.23196e+11,5.57991e+10,1.04858
256,512,8,44.9102,0.00235,2.23101e+11,5.57753e+10,1.04858
256,512,8,42.4345,0.002342,2.23863e+11,5.59658e+10,1.04858
256,512,16,35.459,0.00235,2.23101e+11,5.57753e+10,1.04858
256,512,16,33.8581,0.002359,2.2225e+11,5.55625e+10,1.04858
256,512,16,36.1807,0.002331,2.2492e+11,5.62299e+10,1.04858
256,512,16,37.0954,0.002353,2.22817e+11,5.57042e+10,1.04858
256,512,16,33.7176,0.002347,2.23386e+11,5.58466e+10,1.04858
