width,height,l_size,total_exec,kernel_exec,bandwidth,throughput,memory_footprint
512,512,2,112.397,0.032487,3.22768e+10,8.0692e+09,2.09715
512,512,2,39.5862,0.032487,3.22768e+10,8.0692e+09,2.09715
512,512,2,39.986,0.032469,3.22947e+10,8.07367e+09,2.09715
512,512,2,42.2185,0.032478,3.22857e+10,8.07143e+09,2.09715
512,512,2,39.389,0.032479,3.22847e+10,8.07118e+09,2.09715
512,512,4,40.2703,0.008733,1.20071e+11,3.00176e+10,2.09715
512,512,4,37.7634,0.008361,1.25413e+11,3.13532e+10,2.09715
512,512,4,38.7185,0.008334,1.25819e+11,3.14548e+10,2.09715
512,512,4,38.6006,0.008328,1.2591e+11,3.14774e+10,2.09715
512,512,4,37.8408,0.008346,1.25638e+11,3.14095e+10,2.09715
512,512,8,38.9464,0.004459,2.35159e+11,5.87899e+10,2.09715
512,512,8,40.6089,0.004434,2.36485e+11,5.91213e+10,2.09715
512,512,8,42.0547,0.004439,2.36219e+11,5.90547e+10,2.09715
512,512,8,39.664,0.004449,2.35688e+11,5.8922e+10,2.09715
512,512,8,38.411,0.005334,1.96583e+11,4.91459e+10,2.09715
512,512,16,39.5902,0.004422,2.37127e+11,5.92818e+10,2.09715
512,512,16,38.8788,0.004421,2.37181e+11,5.92952e+10,2.09715
512,512,16,40.1069,0.00444,2.36166e+11,5.90414e+10,2.09715
512,512,16,39.1189,0.004427,2.36859e+11,5.92148e+10,2.09715
512,512,16,38.2567,0.004443,2.36006e+11,5.90016e+10,2.09715
