width,height,l_size,total_exec,kernel_exec,bandwidth,throughput,memory_footprint
256,256,2,108.052,0.008346,3.14095e+10,7.85238e+09,0.524288
256,256,2,31.0094,0.008307,3.1557e+10,7.88925e+09,0.524288
256,256,2,30.9128,0.008329,3.14736e+10,7.86841e+09,0.524288
256,256,2,31.3637,0.008318,3.15153e+10,7.87882e+09,0.524288
256,256,2,125.781,0.009318,2.81331e+10,7.03327e+09,0.524288
256,256,4,33.1048,0.002313,1.13335e+11,2.83338e+10,0.524288
256,256,4,30.7149,0.002316,1.13188e+11,2.82971e+10,0.524288
256,256,4,30.1882,0.002283,1.14824e+11,2.87061e+10,0.524288
256,256,4,31.5205,0.002304,1.13778e+11,2.84444e+10,0.524288
256,256,4,29.8795,0.002277,1.15127e+11,2.87817e+10,0.524288
256,256,8,29.194,0.001301,2.01494e+11,5.03736e+10,0.524288
256,256,8,32.8035,0.001326,1.97695e+11,4.94238e+10,0.524288
256,256,8,30.9877,0.001298,2.0196e+11,5.049e+10,0.524288
256,256,8,32.5505,0.001295,2.02428e+11,5.06069e+10,0.524288
256,256,8,34.4014,0.001291,2.03055e+11,5.07637e+10,0.524288
256,256,16,35.2089,0.001308,2.00416e+11,5.0104e+10,0.524288
256,256,16,33.2017,0.001308,2.00416e+11,5.0104e+10,0.524288
256,256,16,34.1782,0.001287,2.03686e+11,5.09215e+10,0.524288
256,256,16,33.9438,0.001287,2.03686e+11,5.09215e+10,0.524288
256,256,16,35.7877,0.001297,2.02116e+11,5.05289e+10,0.524288
