width,height,l_size,total_exec,kernel_exec,bandwidth,throughput,memory_footprint
1024,1024,2,150.801,0.131916,3.17953e+10,7.94882e+09,8.38861
1024,1024,2,79.0523,0.129477,3.23942e+10,8.09855e+09,8.38861
1024,1024,2,75.2344,0.129964,3.22728e+10,8.0682e+09,8.38861
1024,1024,2,75.3581,0.129454,3.24e+10,8.09999e+09,8.38861
1024,1024,2,73.6256,0.129588,3.23665e+10,8.09161e+09,8.38861
1024,1024,4,71.2085,0.032523,1.28964e+11,3.22411e+10,8.38861
1024,1024,4,171.938,0.03264,1.28502e+11,3.21255e+10,8.38861
1024,1024,4,79.3993,0.033375,1.25672e+11,3.1418e+10,8.38861
1024,1024,4,80.2902,0.032781,1.27949e+11,3.19873e+10,8.38861
1024,1024,4,82.0229,0.032549,1.28861e+11,3.22153e+10,8.38861
1024,1024,8,74.8213,0.019542,2.1463e+11,5.36576e+10,8.38861
1024,1024,8,72.8103,0.017742,2.36405e+11,5.91013e+10,8.38861
1024,1024,8,76.9143,0.017073,2.45669e+11,6.14172e+10,8.38861
1024,1024,8,78.3621,0.018726,2.23983e+11,5.59957e+10,8.38861
1024,1024,8,79.3592,0.017228,2.43459e+11,6.08646e+10,8.38861
1024,1024,16,75.7378,0.019149,2.19035e+11,5.47588e+10,8.38861
1024,1024,16,73.3715,0.016999,2.46738e+11,6.16846e+10,8.38861
1024,1024,16,77.5315,0.017175,2.4421e+11,6.10525e+10,8.38861
1024,1024,16,74.2845,0.016968,2.47189e+11,6.17973e+10,8.38861
1024,1024,16,74.3901,0.017458,2.40251e+11,6.00628e+10,8.38861
